170,0,0,0,1,0,0
166,0,0,0,1,0,0
159,0,0,0,1,0,0
168,0,0,0,1,0,0
158,0,0,0,1,0,0
165,0,0,0,1,0,0
157,0,0,0,1,0,0
159,0,0,0,1,0,0
155,0,0,0,1,0,0
167,0,0,0,1,0,0
175,0,0,0,1,0,0
157,0,0,0,1,0,0
183,0,0,0,1,0,0
168,0,0,0,1,0,0
155,0,0,0,1,0,0
171,0,0,0,1,0,0
172,0,0,0,1,0,0
163,0,0,0,1,0,0
158,0,0,0,1,0,0
158,0,0,0,1,0,0
149,0,0,0,1,0,0
169,0,0,0,1,0,0
165,0,0,0,1,0,0
172,0,0,0,1,0,0
156,0,0,0,1,0,0
158,0,0,0,1,0,0
174,0,0,0,1,0,0
165,0,0,0,1,0,0
177,0,0,0,1,0,0
176,0,0,0,1,0,0
168,0,0,0,1,0,0
170,0,0,0,1,0,0
161,0,0,0,1,0,0
166,0,0,0,1,0,0
169,0,0,0,1,0,0
160,0,0,0,1,0,0
171,0,0,0,1,0,0
180,0,0,0,1,0,0
162,0,0,0,1,0,0
168,0,0,0,1,0,0
160,0,0,0,1,0,0
170,0,0,0,1,0,0
163,0,0,0,1,0,0
158,0,0,0,1,0,0
169,0,0,0,1,0,0
162,0,0,0,1,0,0
171,0,0,0,1,0,0
169,0,0,0,1,0,0
154,0,0,0,1,0,0
168,0,0,0,1,0,0
173,0,0,0,1,0,0
167,0,0,0,1,0,0
167,0,0,0,1,0,0
162,0,0,0,1,0,0
177,0,0,0,1,0,0
163,0,0,0,1,0,0
174,0,0,0,1,0,0
170,0,0,0,1,0,0
158,0,0,0,1,0,0
165,0,0,0,1,0,0
164,0,0,0,1,0,0
173,0,0,0,1,0,0
158,0,0,0,1,0,0
170,0,0,0,1,0,0
157,0,0,0,1,0,0
160,0,0,0,1,0,0
170,0,0,0,1,0,0
172,0,0,0,1,0,0
163,0,0,0,1,0,0
158,0,0,0,1,0,0
161,0,0,0,1,0,0
167,0,0,0,1,0,0
161,0,0,0,1,0,0
182,0,0,0,1,0,0
182,0,0,0,1,0,0
168,0,0,0,1,0,0
166,0,0,0,1,0,0
155,0,0,0,1,0,0
158,1,0,0,1,0,0
165,0,0,0,1,0,0
159,0,0,0,1,0,0
173,0,0,0,1,0,0
176,0,0,0,1,0,0
174,0,0,0,1,0,0
164,0,0,0,1,0,0
162,0,0,0,1,0,0
150,0,1,0,1,0,0
159,0,0,0,1,0,0
165,0,0,0,1,0,0
164,0,0,0,1,0,0
168,0,0,0,1,0,0
164,0,0,0,1,0,0
159,0,0,0,1,0,0
181,0,0,0,1,0,0
161,0,0,0,1,0,0
175,0,0,0,1,0,0
170,0,0,0,1,0,0
170,0,0,0,1,0,0
163,0,0,0,1,0,0
169,0,0,0,1,0,0
171,0,0,0,1,0,0
156,0,0,0,1,0,0
167,0,0,0,1,0,0
171,0,0,0,1,0,0
158,0,0,0,1,0,0
165,0,0,0,1,0,0
160,0,0,0,1,0,0
162,0,0,0,1,0,0
175,0,0,0,1,0,0
169,0,0,0,1,0,0
168,0,0,0,1,0,0
168,0,0,0,1,0,0
157,0,0,0,1,0,0
172,0,0,0,1,0,0
169,0,0,0,1,0,0
154,0,0,0,1,0,0
162,0,0,0,1,0,0
169,0,0,0,1,0,0
160,0,0,0,1,0,0
169,0,0,0,1,0,0
168,0,0,0,1,0,0
177,0,0,0,1,0,0
163,0,0,0,1,0,0
163,0,0,0,1,0,0
160,0,0,0,1,0,0
165,0,0,0,1,0,0
162,0,0,0,1,0,0
179,0,0,0,1,0,0
155,0,0,0,1,0,0
165,0,0,0,1,0,0
169,0,0,0,1,0,0
181,0,0,0,1,0,0
164,0,0,0,1,0,0
158,0,0,0,1,0,0
158,0,0,0,1,0,0
164,0,0,0,1,0,0
165,0,0,0,1,0,0
160,0,0,0,1,0,0
157,0,0,0,1,0,0
163,0,0,0,1,0,0
159,0,0,0,1,0,0
160,0,0,0,1,0,0
163,0,0,0,1,0,0
172,0,0,0,1,0,0
161,0,0,0,1,0,0
155,0,0,0,1,0,0
166,0,0,0,1,0,0
159,0,0,0,1,0,0
155,0,0,0,1,0,0
166,0,0,0,1,0,0
167,0,0,0,1,0,0
162,0,0,0,1,0,0
167,0,0,0,1,0,0
161,0,0,0,1,0,0
156,0,0,0,1,0,0
146,0,0,0,1,0,0
167,0,0,0,1,0,0
166,0,0,0,1,0,0
172,0,0,0,1,0,0
159,0,0,0,1,0,0
163,0,0,0,1,0,0
163,0,0,0,1,0,0
179,0,0,0,1,0,0
166,0,0,0,1,0,0
156,0,0,0,1,0,0
154,0,0,0,1,0,0
157,0,0,0,1,0,0
156,0,0,0,1,0,0
163,0,0,0,1,0,0
166,0,0,0,1,0,0
160,0,0,0,1,0,0
157,0,0,0,1,0,0
157,0,0,0,1,0,0
173,0,0,0,1,0,0
160,0,0,0,1,0,0
165,0,0,0,1,0,0
161,0,0,0,1,0,0
160,0,0,0,1,0,0
168,0,0,0,1,0,0
165,0,0,0,1,0,0
164,0,0,0,1,0,0
159,0,0,0,1,0,0
163,0,0,0,1,0,0
156,0,0,0,1,0,0
156,0,0,0,1,0,0
154,0,0,0,1,0,0
161,0,0,0,1,0,0
151,0,0,0,1,0,0
159,0,0,0,1,0,0
169,0,0,0,1,0,0
174,0,0,0,1,0,0
158,0,0,0,1,0,0
158,0,0,0,1,0,0
166,0,0,0,1,0,0
150,0,0,0,1,0,0
157,0,0,0,1,0,0
172,0,0,0,1,0,0
176,0,0,0,1,0,0
164,0,0,0,1,0,0
158,0,0,0,1,0,0
148,0,0,0,1,0,0
150,0,0,0,1,0,0
164,0,0,0,1,0,0
161,0,0,0,1,0,0
157,0,0,0,1,0,0
169,0,0,0,1,0,0
173,0,0,0,1,0,0
165,0,0,0,1,0,0
161,0,0,0,1,0,0
160,0,0,0,1,0,0
173,0,0,0,1,0,0
171,0,0,0,1,0,0
183,0,0,0,1,0,0
156,0,0,0,1,0,0
155,0,0,0,1,0,0
165,0,0,0,1,0,0
156,0,0,0,1,0,0
167,0,0,0,1,0,0
172,0,0,0,1,0,0
154,0,0,0,1,0,0
172,0,0,0,1,0,0
165,0,0,0,1,0,0
160,0,0,0,1,0,0
174,0,0,0,1,0,0
160,0,0,0,1,0,0
163,0,0,0,1,0,0
157,0,0,0,1,0,0
157,0,0,0,1,0,0
157,0,0,0,1,0,0
170,0,0,0,1,0,0
166,0,0,0,1,0,0
162,0,0,0,1,0,0
165,0,0,0,1,0,0
161,0,0,0,1,0,0
165,0,0,0,1,0,0
155,0,0,0,1,0,0
151,0,0,0,1,0,0
166,0,0,0,1,0,0
158,0,0,0,1,0,0
161,0,0,0,1,0,0
167,0,0,0,1,0,0
175,0,0,0,1,0,0
170,0,0,0,1,0,0
169,0,0,0,1,0,0
162,0,0,0,1,0,0
166,0,0,0,1,0,0
155,0,0,0,1,0,0
157,0,0,0,1,0,0
166,0,0,0,1,0,0
174,0,0,0,1,0,0
168,0,0,0,1,0,0
164,0,0,0,1,0,0
176,0,0,0,1,0,0
168,0,0,0,1,0,0
165,0,0,0,1,0,0
165,0,0,0,1,0,0
171,0,0,0,1,0,0
151,0,0,0,1,0,0
164,0,0,0,1,0,0
170,0,0,0,1,0,0
174,0,0,0,1,0,0
166,0,0,0,1,0,0
158,0,0,0,1,0,0
163,0,0,0,1,0,0
173,0,0,0,1,0,0
152,0,0,0,1,0,0
165,0,0,0,1,0,0
164,0,0,0,1,0,0
163,0,0,0,1,0,0
175,0,0,0,1,0,0
167,0,0,0,1,0,0
163,0,0,0,1,0,0
164,0,0,0,1,0,0
162,0,0,0,1,0,0
167,0,0,0,1,0,0
165,0,0,0,1,0,0
167,0,0,0,1,0,0
161,0,0,0,1,0,0
177,0,0,0,1,0,0
168,0,0,0,1,0,0
180,0,0,0,1,0,0
182,0,0,0,1,0,0
166,0,0,0,1,0,0
168,0,0,0,1,0,0
160,0,0,0,1,0,0
164,0,0,0,1,0,0
160,0,0,0,1,0,0
160,0,0,0,1,0,0
170,0,0,0,1,0,0
158,0,0,0,1,0,0
164,0,0,0,1,0,0
178,0,0,0,1,0,0
172,0,0,0,1,0,0
164,0,0,0,1,0,0
179,0,0,0,1,0,0
162,0,0,0,1,0,0
166,0,0,0,1,0,0
158,0,0,0,1,0,0
164,0,0,0,1,0,0
165,0,0,0,1,0,0
159,0,0,0,1,0,0
158,0,0,0,1,0,0
172,0,0,0,1,0,0
161,0,0,0,1,0,0
165,0,0,0,1,0,0
177,0,0,0,1,0,0
170,0,0,0,1,0,0
156,0,0,0,1,0,0
172,0,0,0,1,0,0
175,0,0,0,1,0,0
169,0,0,0,1,0,0
157,0,0,0,1,0,0
162,0,0,0,1,0,0
166,0,0,0,1,0,0
177,0,0,0,1,0,0
174,0,0,0,1,0,0
170,0,0,0,1,0,0
162,0,0,0,1,0,0
166,0,0,0,1,0,0
165,0,0,0,1,0,0
155,0,0,0,1,0,0
160,0,0,0,1,0,0
164,0,0,0,1,0,0
161,0,0,0,1,0,0
160,0,0,0,1,0,0
157,0,0,0,1,0,0
157,0,0,0,1,0,0
167,0,0,0,1,0,0
164,0,0,0,1,0,0
158,0,0,0,1,0,0
163,0,0,0,1,0,0
158,0,0,0,1,0,0
155,0,0,0,1,0,0
158,0,0,0,1,0,0
164,0,0,0,1,0,0
165,0,0,0,1,0,0
171,0,0,0,1,0,0
165,0,0,0,1,0,0
163,0,0,0,1,0,0
168,0,0,0,1,0,0
177,0,0,0,1,0,0
173,0,0,0,1,0,0
164,0,0,0,1,0,0
169,0,0,0,1,0,0
157,0,0,0,1,0,0
168,0,0,0,1,0,0
165,0,0,0,1,0,0
154,0,0,0,1,0,0
175,0,0,0,1,0,0
173,0,0,0,1,0,0
170,0,0,0,1,0,0
166,0,0,0,1,0,0
179,0,0,0,1,0,0
156,0,0,0,1,0,0
167,0,0,0,1,0,0
168,0,0,0,1,0,0
176,0,0,0,1,0,0
168,0,0,0,1,0,0
150,0,0,0,1,0,0
152,0,0,0,1,0,0
184,0,0,0,1,0,0
168,0,0,0,1,0,0
174,0,0,0,1,0,0
167,0,0,0,1,0,0
166,0,0,0,1,0,0
166,0,0,0,1,0,0
157,0,0,0,1,0,0
174,0,0,0,1,0,0
166,0,0,0,1,0,0
177,0,0,0,1,0,0
176,0,0,0,1,0,0
173,0,0,0,1,0,0
166,0,0,0,1,0,0
150,0,0,0,1,0,0
169,0,0,0,1,0,0
162,0,0,0,1,0,0
169,0,0,0,1,0,0
165,0,0,0,1,0,0
157,0,0,0,1,0,0
159,0,0,0,1,0,0
167,0,0,0,1,0,0
172,0,0,0,1,0,0
158,0,0,0,1,0,0
178,0,0,0,1,0,0
168,0,0,0,1,0,0
170,0,0,0,1,0,0
177,0,0,0,1,0,0
156,0,0,0,1,0,0
168,0,0,0,1,0,0
168,0,0,0,1,0,0
155,0,0,0,1,0,0
161,0,0,0,1,0,0
169,0,0,0,1,0,0
165,0,0,0,1,0,0
174,0,0,0,1,0,0
180,0,0,0,1,0,0
173,0,0,0,1,0,0
172,0,0,0,1,0,0
171,0,0,0,1,0,0
177,0,0,0,1,0,0
158,0,0,0,1,0,0
180,0,0,0,1,0,0
149,0,0,0,1,0,0
172,0,0,0,1,0,0
163,0,0,0,1,0,0
167,0,0,0,1,0,0
168,0,0,0,1,0,0
178,0,0,0,1,0,0
187,0,0,0,1,0,0
169,0,0,0,1,0,0
168,0,0,0,1,0,0
183,0,0,0,1,0,0
162,0,0,0,1,0,0
157,0,0,0,1,0,0
151,0,0,0,1,0,0
171,0,0,0,1,0,0
163,0,0,0,1,0,0
171,0,0,0,1,0,0
176,0,0,0,1,0,0
176,0,0,0,1,0,0
167,0,0,0,1,0,0
171,0,0,0,1,0,0
174,0,0,0,1,0,0
159,0,0,0,1,0,0
156,0,0,0,1,0,0
138,3,0,0,1,0,0
136,3,0,0,1,0,0
135,3,0,0,1,0,0
133,0,0,0,1,0,0
133,1,0,0,1,0,0
145,2,0,0,1,0,0
136,2,0,0,1,0,0
133,0,0,0,1,0,0
133,1,0,0,1,0,0
139,1,0,0,1,0,0
141,2,0,0,1,0,0
133,0,0,0,1,0,0
133,1,0,0,1,0,0
133,1,0,0,1,0,0
133,1,0,0,1,0,0
133,1,0,0,1,0,0
133,1,0,0,1,0,0
141,3,0,0,1,0,0
135,3,0,0,1,0,0
142,1,0,0,1,0,0
137,2,0,0,1,0,0
133,1,0,0,1,0,0
133,1,0,0,1,0,0
137,2,0,0,1,0,0
138,1,0,0,1,0,0
137,3,0,0,1,0,0
138,4,0,0,1,0,0
136,2,0,0,1,0,0
134,2,0,0,1,0,0
141,0,0,0,1,0,0
138,0,0,0,1,0,0
140,1,0,0,1,0,0
140,2,0,0,1,0,0
139,2,0,0,1,0,0
143,1,0,0,1,0,0
140,1,0,0,1,0,0
137,3,0,0,1,0,0
142,2,0,0,1,0,0
141,3,0,0,1,0,0
133,1,0,0,1,0,0
133,1,0,0,1,0,0
148,3,0,0,1,0,0
138,3,0,0,1,0,0
138,0,0,0,1,0,0
133,1,0,0,1,0,0
138,2,0,0,1,0,0
146,2,0,0,1,0,0
143,2,0,0,1,0,0
140,1,0,0,1,0,0
136,2,0,0,1,0,0
143,1,0,0,1,0,0
135,3,0,0,1,0,0
137,3,0,0,1,0,0
133,1,0,0,1,0,0
133,1,0,0,1,0,0
140,4,0,0,1,0,0
140,1,0,0,1,0,0
136,2,0,0,1,0,0
143,1,0,0,1,0,0
149,0,0,0,1,0,0
146,4,0,0,1,0,0
138,4,0,0,1,0,0
150,2,0,0,1,0,0
138,2,0,0,1,0,0
143,1,0,0,1,0,0
147,1,0,0,1,0,0
139,3,0,0,1,0,0
140,2,0,0,1,0,0
139,1,0,0,1,0,0
138,3,0,0,1,0,0
138,3,0,0,1,0,0
133,1,0,0,1,0,0
133,1,0,0,1,0,0
133,1,0,0,1,0,0
133,1,0,0,1,0,0
140,0,0,0,1,0,0
157,0,0,0,1,0,0
162,0,0,0,1,0,0
150,0,0,0,1,0,0
151,0,0,0,1,0,0
159,0,0,0,1,0,0
155,0,0,0,1,0,0
169,0,0,0,1,0,0
148,0,0,0,1,0,0
155,0,0,0,1,0,0
156,0,0,0,1,0,0
161,0,0,0,1,0,0
154,0,0,0,1,0,0
152,0,0,0,1,0,0
149,0,0,0,1,0,0
146,0,0,0,1,0,0
154,0,0,0,1,0,0
147,0,0,0,1,0,0
155,0,0,0,1,0,0
155,0,0,0,1,0,0
151,0,0,0,1,0,0
156,0,0,0,1,0,0
151,0,0,0,1,0,0
162,0,0,0,1,0,0
164,0,0,0,1,0,0
169,0,0,0,1,0,0
158,0,0,0,1,0,0
166,0,0,0,1,0,0
146,0,0,0,1,0,0
150,0,0,0,1,0,0
160,0,0,0,1,0,0
159,0,0,0,1,0,0
161,0,0,0,1,0,0
155,0,0,0,1,0,0
162,0,0,0,1,0,0
144,0,0,0,1,0,0
149,0,0,0,1,0,0
144,0,0,0,1,0,0
152,0,0,0,1,0,0
159,0,0,0,1,0,0
162,0,0,0,1,0,0
153,0,0,0,1,0,0
158,0,0,0,1,0,0
153,0,0,0,1,0,0
141,0,0,0,1,0,0
152,0,0,0,1,0,0
145,0,0,0,1,0,0
148,0,0,0,1,0,0
158,0,0,0,1,0,0
157,0,0,0,1,0,0
155,0,0,0,1,0,0
147,0,0,0,1,0,0
151,0,0,0,1,0,0
164,0,0,0,1,0,0
139,0,0,0,1,0,0
154,0,0,0,1,0,0
153,0,0,0,1,0,0
150,0,0,0,1,0,0
156,0,0,0,1,0,0
160,0,0,0,1,0,0
154,0,0,0,1,0,0
152,0,0,0,1,0,0
153,0,0,0,1,0,0
155,0,0,0,1,0,0
153,0,0,0,1,0,0
149,0,0,0,1,0,0
150,0,0,0,1,0,0
152,0,0,0,1,0,0
151,0,0,0,1,0,0
143,0,0,0,1,0,0
157,0,0,0,1,0,0
155,0,0,0,1,0,0
153,0,0,0,1,0,0
154,0,0,0,1,0,0
166,0,0,0,1,0,0
155,0,0,0,1,0,0
162,0,0,0,1,0,0
153,0,0,0,1,0,0
155,0,0,0,1,0,0
168,0,0,0,1,0,0
157,0,0,0,1,0,0
155,0,0,0,1,0,0
147,0,0,0,1,0,0
152,0,0,0,1,0,0
149,0,0,0,1,0,0
154,0,0,0,1,0,0
157,0,0,0,1,0,0
147,0,0,0,1,0,0
148,0,0,0,1,0,0
162,0,0,0,1,0,0
144,0,0,0,1,0,0
151,0,0,0,1,0,0
154,0,0,0,1,0,0
154,0,0,0,1,0,0
153,0,0,0,1,0,0
155,0,0,0,1,0,0
153,0,0,0,1,0,0
153,0,0,0,1,0,0
158,0,0,0,1,0,0
149,0,0,0,1,0,0
145,0,0,0,1,0,0
152,0,0,0,1,0,0
153,0,0,0,1,0,0
159,0,0,0,1,0,0
149,0,0,0,1,0,0
163,0,0,0,1,0,0
161,0,0,0,1,0,0
153,0,0,0,1,0,0
163,0,0,0,1,0,0
159,0,0,0,1,0,0
149,0,0,0,1,0,0
149,0,0,0,1,0,0
151,0,0,0,1,0,0
154,0,0,0,1,0,0
156,0,0,0,1,0,0
149,0,0,0,1,0,0
149,0,0,0,1,0,0
155,0,0,0,1,0,0
156,0,0,0,1,0,0
154,0,0,0,1,0,0
147,0,0,0,1,0,0
141,0,0,0,1,0,0
166,0,0,0,1,0,0
153,0,0,0,1,0,0
149,0,0,0,1,0,0
144,0,0,0,1,0,0
150,0,0,0,1,0,0
159,0,0,0,1,0,0
167,0,0,0,1,0,0
156,0,0,0,1,0,0
152,0,0,0,1,0,0
155,0,0,0,1,0,0
154,0,0,0,1,0,0
153,0,0,0,1,0,0
143,0,0,0,1,0,0
161,0,0,0,1,0,0
158,0,0,0,1,0,0
155,0,0,0,1,0,0
157,0,0,0,1,0,0
151,0,0,0,1,0,0
152,0,0,0,1,0,0
161,0,0,0,1,0,0
160,0,0,0,1,0,0
174,0,0,0,1,0,0
149,0,0,0,1,0,0
152,0,0,0,1,0,0
156,0,0,0,1,0,0
149,0,0,0,1,0,0
157,0,0,0,1,0,0
162,0,0,0,1,0,0
170,0,0,0,1,0,0
168,0,0,0,1,0,0
154,0,0,0,1,0,0
144,0,0,1,1,0,0
160,0,0,0,1,0,0
146,0,0,0,1,0,0
151,0,0,0,1,0,0
151,0,0,0,1,0,0
157,0,0,0,1,0,0
153,0,0,0,1,0,0
146,0,0,0,1,0,0
157,0,0,0,1,0,0
160,0,0,0,1,0,0
161,0,0,0,1,0,0
168,0,0,0,1,0,0
152,0,0,0,1,0,0
165,0,0,0,1,0,0
155,0,0,0,1,0,0
153,0,0,0,1,0,0
152,0,0,0,1,0,0
149,0,0,0,1,0,0
150,0,0,0,1,0,0
150,0,0,0,1,0,0
147,0,0,0,1,0,0
163,0,0,0,1,0,0
168,0,0,0,1,0,0
148,0,0,0,1,0,0
162,0,0,0,1,0,0
155,0,0,0,1,0,0
157,0,0,0,1,0,0
150,0,0,0,1,0,0
185,0,0,0,1,0,0
154,0,0,0,1,0,0
146,0,0,0,1,0,0
162,0,0,0,1,0,0
158,0,0,0,1,0,0
147,0,0,0,1,0,0
161,0,0,0,1,0,0
149,0,0,0,1,0,0
161,0,0,0,1,0,0
161,0,0,0,1,0,0
151,0,0,0,1,0,0
153,0,0,0,1,0,0
156,0,0,0,1,0,0
160,0,0,0,1,0,0
155,0,0,0,1,0,0
157,0,0,0,1,0,0
142,0,0,0,1,0,0
158,0,0,0,1,0,0
166,0,0,0,1,0,0
151,0,0,0,1,0,0
158,0,0,0,1,0,0
160,0,0,0,1,0,0
150,0,0,0,1,0,0
163,0,0,0,1,0,0
149,0,0,0,1,0,0
156,0,0,0,1,0,0
159,0,0,0,1,0,0
157,0,0,0,1,0,0
149,0,0,0,1,0,0
160,0,0,0,1,0,0
158,0,0,0,1,0,0
150,0,0,0,1,0,0
150,0,0,0,1,0,0
143,0,0,0,1,0,0
159,0,0,0,1,0,0
152,0,0,0,1,0,0
153,0,0,0,1,0,0
157,0,0,0,1,0,0
157,0,0,0,1,0,0
163,0,0,0,1,0,0
161,0,0,0,1,0,0
164,0,0,0,1,0,0
161,0,0,0,1,0,0
163,0,0,0,1,0,0
151,0,0,0,1,0,0
170,0,0,0,1,0,0
158,0,0,0,1,0,0
161,0,0,0,1,0,0
147,0,0,0,1,0,0
155,0,0,0,1,0,0
148,0,0,0,1,0,0
149,0,0,0,1,0,0
154,0,0,0,1,0,0
159,0,0,0,1,0,0
148,0,0,0,1,0,0
157,0,0,0,1,0,0
160,0,0,0,1,0,0
167,0,0,0,1,0,0
159,0,0,0,1,0,0
155,0,0,0,1,0,0
165,0,0,0,1,0,0
152,0,0,0,1,0,0
151,0,0,0,1,0,0
153,0,0,0,1,0,0
153,0,0,0,1,0,0
163,0,0,0,1,0,0
165,0,0,0,1,0,0
159,0,0,0,1,0,0
153,0,0,0,1,0,0
150,0,0,0,1,0,0
152,0,0,0,1,0,0
143,0,0,0,1,0,0
151,0,0,0,1,0,0
145,0,0,0,1,0,0
141,0,0,0,1,0,0
151,0,0,0,1,0,0
152,0,0,0,1,0,0
157,0,0,0,1,0,0
155,0,0,0,1,0,0
151,0,0,0,1,0,0
138,0,0,0,1,0,0
141,0,0,0,1,0,0
149,0,0,0,1,0,0
147,0,0,0,1,0,0
147,0,0,0,1,0,0
148,0,0,0,1,0,0
147,0,0,0,1,0,0
147,0,0,0,1,0,0
154,0,0,0,1,0,0
176,0,0,0,1,0,0
149,0,0,0,1,0,0
170,0,0,0,1,0,0
158,0,0,0,1,0,0
153,0,0,0,1,0,0
154,0,0,0,1,0,0
153,0,0,0,1,0,0
153,0,0,0,1,0,0
154,0,0,0,1,0,0
165,0,0,0,1,0,0
160,0,0,0,1,0,0
160,0,0,0,1,0,0
159,0,0,0,1,0,0
149,0,0,0,1,0,0
158,0,0,0,1,0,0
149,0,0,0,1,0,0
155,0,0,0,1,0,0
158,0,0,0,1,0,0
144,0,0,0,1,0,0
157,0,0,0,1,0,0
153,0,0,0,1,0,0
153,0,0,0,1,0,0
157,0,0,0,1,0,0
165,0,0,0,1,0,0
161,0,0,0,1,0,0
162,0,0,0,1,0,0
144,0,0,0,1,0,0
148,0,0,0,1,0,0
160,0,0,0,1,0,0
153,0,0,0,1,0,0
135,0,0,0,1,0,0
145,0,0,0,1,0,0
143,0,0,0,1,0,0
148,0,0,0,1,0,0
150,0,0,0,1,0,0
152,0,0,0,1,0,0
153,0,0,0,1,0,0
152,0,0,0,1,0,0
155,0,0,0,1,0,0
149,0,0,0,1,0,0
145,0,0,0,1,0,0
149,0,0,0,1,0,0
152,0,0,0,1,0,0
152,0,0,0,1,0,0
152,0,0,0,1,0,0
146,0,0,0,1,0,0
160,0,0,0,1,0,0
142,0,0,0,1,0,0
144,0,0,0,1,0,0
148,0,0,0,1,0,0
144,0,0,0,1,0,0
144,0,0,0,1,0,0
155,0,0,0,1,0,0
148,0,0,0,1,0,0
154,0,0,0,1,0,0
151,0,0,0,1,0,0
147,0,0,0,1,0,0
145,0,0,0,1,0,0
156,0,0,0,1,0,0
147,0,0,0,1,0,0
160,0,0,0,1,0,0
158,0,0,0,1,0,0
144,0,0,0,1,0,0
152,0,0,0,1,0,0
149,0,0,0,1,0,0
142,0,0,0,1,0,0
151,0,0,0,1,0,0
159,0,0,0,1,0,0
155,0,0,0,1,0,0
152,0,0,0,1,0,0
143,0,0,0,1,0,0
151,0,0,0,1,0,0
150,0,0,0,1,0,0
156,0,0,0,1,0,0
153,0,0,0,1,0,0
151,0,0,0,1,0,0
152,0,0,0,1,0,0
138,0,0,0,1,0,0
148,0,0,0,1,0,0
157,0,0,0,1,0,0
159,0,0,0,1,0,0
157,0,0,0,1,0,0
157,0,0,0,1,0,0
133,0,0,0,1,0,0
146,0,0,0,1,0,0
135,0,0,0,1,0,0
142,0,0,0,1,0,0
134,0,0,0,1,0,0
164,0,0,0,1,0,0
149,0,0,0,1,0,0
148,0,0,0,1,0,0
145,0,0,0,1,0,0
154,0,0,0,1,0,0
152,0,0,0,1,0,0
143,0,0,0,1,0,0
145,0,0,0,1,0,0
140,0,0,0,1,0,0
142,0,0,0,1,0,0
155,0,0,0,1,0,0
147,0,0,0,1,0,0
138,0,0,0,1,0,0
154,0,0,0,1,0,0
154,0,0,0,1,0,0
141,0,0,0,1,0,0
149,0,0,0,1,0,0
147,0,0,0,1,0,0
152,0,0,0,1,0,0
156,0,0,0,1,0,0
163,0,0,0,1,0,0
148,0,0,0,1,0,0
149,0,0,0,1,0,0
153,0,0,0,1,0,0
145,0,0,0,1,0,0
150,0,0,0,1,0,0
138,0,0,0,1,0,0
145,0,0,0,1,0,0
148,0,0,0,1,0,0
161,0,0,0,1,0,0
158,0,0,0,1,0,0
145,0,0,0,1,0,0
142,0,0,0,1,0,0
148,0,0,0,1,0,0
136,0,0,0,1,0,0
147,0,0,0,1,0,0
143,0,0,0,1,0,0
146,0,0,0,1,0,0
148,0,0,0,1,0,0
144,0,0,0,1,0,0
137,0,0,0,1,0,0
146,0,0,0,1,0,0
144,0,0,0,1,0,0
146,0,0,0,1,0,0
137,0,0,0,1,0,0
147,0,0,0,1,0,0
144,0,0,0,1,0,0
142,0,0,0,1,0,0
153,0,0,0,1,0,0
141,0,0,0,1,0,0
138,0,0,0,1,0,0
149,0,0,0,1,0,0
151,0,0,0,1,0,0
143,0,0,0,1,0,0
150,0,0,0,1,0,0
145,0,0,0,1,0,0
147,0,0,0,1,0,0
152,0,0,0,1,0,0
161,0,0,0,1,0,0
146,0,0,0,1,0,0
152,0,0,0,1,0,0
155,0,0,0,1,0,0
152,0,0,0,1,0,0
157,0,0,0,1,0,0
155,0,0,0,1,0,0
149,0,0,0,1,0,0
151,0,0,0,1,0,0
161,0,0,0,1,0,0
150,0,0,0,1,0,0
144,0,0,0,1,0,0
154,0,0,0,1,0,0
142,0,0,0,1,0,0
158,0,0,0,1,0,0
150,0,0,0,1,0,0
135,0,0,0,1,0,0
143,0,0,0,1,0,0
159,0,0,0,1,0,0
156,0,0,0,1,0,0
147,0,0,0,1,0,0
143,0,0,0,1,0,0
152,0,0,0,1,0,0
145,0,0,0,1,0,0
155,0,0,0,1,0,0
154,0,0,0,1,0,0
146,0,0,0,1,0,0
159,0,0,0,1,0,0
143,0,0,0,1,0,0
144,0,0,0,1,0,0
148,0,0,0,1,0,0
158,0,0,0,1,0,0
140,0,0,0,1,0,0
145,0,0,0,1,0,0
153,0,0,0,1,0,0
162,0,0,0,1,0,0
137,0,0,0,1,0,0
140,0,0,0,1,0,0
136,0,0,0,1,0,0
154,0,0,0,1,0,0
148,0,0,0,1,0,0
148,0,0,0,1,0,0
153,0,0,0,1,0,0
151,0,0,0,1,0,0
148,0,0,0,1,0,0
144,0,0,0,1,0,0
150,0,0,0,1,0,0
157,0,0,0,1,0,0
151,0,0,0,1,0,0
140,0,0,0,1,0,0
154,0,0,0,1,0,0
157,0,0,0,1,0,0
156,0,0,0,1,0,0
151,0,0,0,1,0,0
152,0,0,0,1,0,0
145,0,0,0,1,0,0
141,0,0,0,1,0,0
139,0,0,0,1,0,0
148,0,0,0,1,0,0
151,0,0,0,1,0,0
144,0,0,0,1,0,0
149,0,0,0,1,0,0
143,0,0,0,1,0,0
154,0,0,0,1,0,0
140,0,0,0,1,0,0
140,0,0,0,1,0,0
144,0,0,0,1,0,0
157,0,0,0,1,0,0
146,0,0,0,1,0,0
152,0,0,0,1,0,0
145,0,0,0,1,0,0
148,0,0,0,1,0,0
165,0,0,0,1,0,0
149,0,0,0,1,0,0
162,0,0,0,1,0,0
159,0,0,0,1,0,0
159,0,0,0,1,0,0
125,0,0,0,1,1,0
120,0,0,0,1,3,0
129,0,0,0,1,2,0
118,0,0,0,1,2,0
120,0,0,0,1,2,0
124,0,0,0,1,4,0
120,0,0,0,1,2,0
