99,0,0,0,1,0,0
99,0,0,0,1,0,0
99,0,0,0,1,0,0
99,0,0,0,1,0,0
102,0,0,0,3,0,0
108,0,0,0,1,0,0
109,0,0,0,2,0,0
108,0,0,0,3,0,0
105,0,0,0,4,0,0
109,0,0,0,5,0,0
99,0,0,0,0,0,0
99,0,0,0,1,0,0
103,0,0,0,1,0,0
113,0,0,0,0,0,0
109,0,0,0,2,0,0
100,0,0,0,2,0,0
103,0,0,0,2,0,0
108,0,0,0,1,0,0
98,0,0,0,1,0,0
99,0,0,0,0,0,0
99,0,0,0,1,0,0
99,0,0,0,1,0,0
106,0,0,0,1,0,0
101,0,0,0,2,0,0
105,0,0,0,2,0,0
104,0,0,0,2,0,0
99,0,0,0,0,0,0
99,0,0,0,1,0,0
99,0,0,0,1,0,0
99,0,0,0,1,0,0
105,0,0,0,3,0,0
105,0,0,0,3,0,0
99,0,0,0,1,0,0
99,0,0,0,1,0,0
99,0,0,0,1,0,0
99,0,0,0,1,0,0
108,0,0,0,2,0,0
108,0,0,0,2,0,0
104,0,0,0,4,0,0
103,0,0,0,3,0,0
104,0,0,0,1,0,0
103,0,0,0,2,0,0
100,0,0,0,1,0,0
112,0,0,0,1,0,0
104,0,0,0,1,0,1
109,0,0,0,4,0,0
113,0,0,0,0,0,0
101,0,0,0,4,0,0
99,0,0,0,0,0,0
99,0,0,0,1,0,0
105,0,0,0,2,0,0
113,0,0,0,2,0,0
99,0,0,0,2,0,0
101,0,0,0,1,0,0
102,0,0,0,4,0,0
102,0,0,0,1,0,0
99,0,0,0,2,0,0
103,0,0,0,5,0,0
99,0,0,0,0,0,0
99,0,0,0,1,0,0
106,0,0,0,2,0,0
122,0,0,0,2,0,0
99,0,0,0,1,0,0
99,0,0,0,1,0,0
99,0,0,0,1,0,0
99,0,0,0,1,0,0
99,0,0,0,1,0,0
99,0,0,0,1,0,0
109,0,0,0,3,0,0
109,0,0,0,0,0,1
99,0,0,0,0,0,1
99,0,0,0,0,1,0
99,0,0,0,1,0,0
99,0,0,0,1,0,0
99,0,0,0,1,0,0
99,0,0,0,1,0,0
101,0,0,0,2,0,0
114,0,0,0,2,0,0
99,0,0,0,0,0,0
99,0,0,0,1,0,0
99,0,0,0,1,0,0
99,0,0,0,1,0,0
99,0,0,0,1,0,0
99,0,0,0,1,0,0
99,0,0,0,1,0,0
99,0,0,0,1,0,0
99,0,0,0,1,0,0
99,0,0,0,1,0,0
99,0,0,0,1,0,0
99,0,0,0,1,0,0
104,0,0,0,3,0,0
104,0,0,0,3,0,0
99,0,0,0,1,0,0
99,0,0,0,1,0,0
99,0,0,0,1,0,0
99,0,0,0,1,0,0
99,0,0,0,1,0,0
99,0,0,0,1,0,0
110,0,0,0,4,0,0
108,0,0,0,1,0,0
105,0,0,0,0,0,5
107,0,0,0,0,0,3
99,0,0,0,0,0,0
99,0,0,0,0,0,1
104,0,0,0,0,0,3
104,0,0,0,0,0,2
102,0,0,0,0,0,2
108,0,0,0,0,0,0
103,0,0,0,0,0,2
101,0,0,0,0,0,2
99,0,0,0,0,0,0
99,0,0,0,0,0,1
99,0,0,0,0,0,1
99,0,0,0,0,0,1
99,0,0,0,0,0,1
99,0,0,0,0,0,1
99,0,0,0,0,0,1
99,0,0,0,0,0,1
99,0,0,0,0,0,1
99,0,0,0,0,0,1
101,0,0,0,0,0,3
108,0,0,0,0,2,0
102,0,0,0,0,3,0
105,0,0,0,0,2,0
109,0,0,0,0,1,0
110,0,0,0,0,2,0
100,0,0,0,0,1,0
107,0,0,0,0,2,0
106,0,0,0,0,3,0
107,0,0,0,0,1,0
110,0,0,0,0,1,0
104,0,0,0,0,4,0
108,0,0,0,0,2,1
108,0,0,0,0,0,0
101,0,0,0,0,0,1
109,0,0,0,0,0,1
99,0,0,0,0,0,0
99,0,0,0,0,0,1
99,0,0,0,0,0,1
99,0,0,0,0,0,1
99,0,0,0,0,0,1
99,0,0,0,0,0,1
99,0,0,0,0,0,1
99,0,0,0,0,0,1
99,0,0,0,0,0,1
99,0,0,0,0,0,1
99,0,0,0,0,0,1
99,0,0,0,0,0,1
107,0,0,0,0,0,1
101,0,0,0,0,0,3
102,0,0,0,0,0,2
109,0,0,0,0,0,1
99,0,0,0,0,0,1
99,0,0,0,0,0,1
99,0,0,0,0,0,1
99,0,0,0,0,0,1
107,0,0,0,0,0,0
102,0,0,0,0,0,4
99,0,0,0,0,0,0
99,0,0,0,0,0,1
99,0,0,0,0,0,1
99,0,0,0,0,0,1
109,0,0,0,0,0,0
104,0,0,0,0,0,5
99,0,0,0,0,0,1
99,0,0,0,0,0,1
99,0,0,0,0,0,1
99,0,0,0,0,0,1
112,0,0,0,0,0,0
107,0,0,0,0,0,5
99,0,0,0,0,0,1
99,0,0,0,0,0,1
103,0,0,0,0,0,3
107,0,0,0,0,0,2
101,0,0,0,0,0,2
102,0,0,0,0,0,1
102,0,0,0,0,0,3
111,0,0,0,0,0,1
100,0,0,0,0,0,2
100,0,0,0,0,0,3
99,0,0,0,0,0,0
99,0,0,0,0,0,1
108,0,0,0,0,0,3
111,0,0,0,0,0,2
99,0,0,0,0,0,1
99,0,0,0,0,0,1
99,0,0,0,0,0,1
99,0,0,0,0,0,1
99,0,0,0,0,0,1
99,0,0,0,0,0,1
99,0,0,0,0,0,1
99,0,0,0,0,0,1
102,0,0,0,0,0,2
113,0,0,0,0,0,0
106,0,0,0,0,0,3
106,0,0,0,0,0,4
99,0,0,0,0,0,1
99,0,0,0,0,0,1
99,0,0,0,0,0,1
99,0,0,0,0,0,1
113,0,0,0,0,0,0
126,0,0,0,0,0,0
120,0,0,0,0,0,0
110,0,0,0,0,0,0
123,0,0,0,0,0,0
114,0,0,0,0,0,0
109,0,0,0,0,0,0
120,0,0,0,0,0,0
123,0,0,0,0,0,0
124,0,0,0,0,0,0
122,0,0,0,0,0,0
118,0,0,0,0,0,0
114,0,0,0,0,0,0
113,0,0,0,0,0,0
111,0,0,0,0,0,0
109,0,0,0,0,0,0
130,0,0,0,0,0,0
129,0,0,0,0,0,0
115,0,0,0,0,0,0
118,0,0,0,0,0,0
112,0,0,0,0,0,0
117,0,0,0,0,0,0
113,0,0,0,0,0,0
119,0,0,0,0,0,0
119,0,0,0,0,0,0
110,0,0,0,0,0,0
115,0,0,0,0,0,0
120,0,0,0,0,0,0
129,0,0,0,0,0,0
122,0,0,0,0,0,0
110,0,0,0,0,0,0
119,0,0,0,0,0,0
115,0,0,0,0,0,0
117,0,0,0,0,0,0
123,0,0,0,0,0,0
116,0,0,0,0,0,0
112,0,0,0,0,0,0
100,0,0,0,0,0,0
125,0,0,0,0,0,0
110,0,0,0,0,0,0
112,0,0,0,0,0,0
123,0,0,0,0,0,0
129,0,0,0,0,0,0
108,0,0,0,0,0,0
118,0,0,0,0,0,0
120,0,0,0,0,0,0
120,0,0,0,0,0,0
120,0,0,0,0,0,0
115,0,0,0,0,0,0
113,0,0,0,0,0,0
115,0,0,0,0,0,0
117,0,0,0,0,0,0
115,0,0,0,0,0,0
109,0,0,0,0,0,0
108,0,0,0,0,0,0
115,0,0,0,0,0,0
119,0,0,0,0,0,0
120,0,0,0,0,0,0
136,0,0,0,0,0,0
114,0,0,0,0,0,0
126,0,0,0,0,0,0
118,0,0,0,0,0,0
118,0,0,0,0,0,0
125,0,0,0,0,0,0
115,0,0,0,0,0,0
119,0,0,0,0,0,0
105,0,0,0,0,0,0
111,0,0,0,0,0,0
122,0,0,0,0,0,0
124,0,0,0,0,0,0
110,0,0,0,0,0,0
116,0,0,0,0,0,0
120,0,0,0,0,0,0
115,0,0,0,0,0,0
110,0,0,0,0,0,0
115,0,0,0,0,0,0
107,0,0,0,0,0,0
115,0,0,0,0,0,0
122,0,0,0,0,0,0
106,0,0,0,0,0,0
105,0,0,0,0,0,0
107,0,0,0,0,0,0
119,0,0,0,0,0,0
128,0,0,0,0,0,0
126,0,0,0,0,0,0
119,0,0,0,0,0,0
117,0,0,0,0,0,0
117,0,0,0,0,0,0
109,0,0,0,0,0,0
112,0,0,0,0,0,0
120,0,0,0,0,0,0
118,0,0,0,0,0,0
105,0,0,0,0,0,0
122,0,0,0,0,0,0
110,0,0,0,0,0,0
104,0,0,0,0,0,0
115,0,0,0,0,0,0
108,0,0,0,0,0,0
112,0,0,0,0,0,0
114,0,0,0,0,0,0
121,0,0,0,0,0,0
124,0,0,0,0,0,0
134,0,0,0,0,0,0
116,0,0,0,0,0,0
114,0,0,0,0,0,0
116,0,0,0,0,0,0
126,0,0,0,0,0,0
124,0,0,0,0,0,0
120,0,0,0,0,0,0
111,0,0,0,0,0,0
112,0,0,0,0,0,0
127,0,0,0,0,0,0
123,0,0,0,0,0,0
120,0,0,0,0,0,0
122,0,0,0,0,0,0
112,0,0,0,0,0,0
130,0,0,0,0,0,0
117,0,0,0,0,0,0
123,0,0,0,0,0,0
118,0,0,0,0,0,0
118,0,0,0,0,0,0
125,0,0,0,0,0,0
117,0,0,0,0,0,0
116,0,0,0,0,0,0
125,0,0,0,0,0,0
116,0,0,0,0,0,0
113,0,0,0,0,0,0
119,0,0,0,0,0,0
128,0,0,0,0,0,0
128,0,0,0,0,0,0
112,0,0,0,0,0,0
118,0,0,0,0,0,0
109,0,0,0,0,0,0
131,0,0,0,0,0,0
128,0,0,0,0,0,0
122,0,0,0,0,0,0
115,0,0,0,0,0,0
116,0,0,0,0,0,0
112,0,0,0,0,0,0
125,0,0,0,0,0,0
124,0,0,0,0,0,0
117,0,0,0,0,0,0
106,0,0,0,0,0,0
125,0,0,0,0,0,0
128,0,0,0,0,0,0
119,0,0,0,0,0,0
134,0,0,0,0,0,0
114,0,0,0,0,0,0
114,0,0,0,0,0,0
105,0,0,0,0,0,0
113,0,0,0,0,0,0
116,0,0,0,0,0,0
114,0,0,0,0,0,0
117,0,0,0,0,0,0
114,0,0,0,0,0,0
124,0,0,0,0,0,0
112,0,0,0,0,0,0
105,0,0,0,0,0,0
117,0,0,0,0,0,0
112,0,0,0,0,0,0
128,0,0,0,0,0,0
111,0,0,0,0,0,0
116,0,0,0,0,0,0
118,0,0,0,0,0,0
120,0,0,0,0,0,0
114,0,0,0,0,0,0
130,0,0,0,0,0,0
129,0,0,0,0,0,0
119,0,0,0,0,0,0
127,0,0,0,0,0,0
108,0,0,0,0,0,0
113,0,0,0,0,0,0
116,0,0,0,0,0,0
115,0,0,0,0,0,0
117,0,0,0,0,0,0
123,0,0,0,0,0,0
112,0,0,0,0,0,0
114,0,0,0,0,0,0
118,0,0,0,0,0,0
119,0,0,0,0,0,0
120,0,0,0,0,0,0
117,0,0,0,0,0,0
113,0,0,0,0,0,0
113,0,0,0,0,0,0
120,0,0,0,0,0,0
108,0,0,0,0,0,0
110,0,0,0,0,0,0
121,0,0,0,0,0,0
121,0,0,0,0,0,0
133,0,0,0,0,0,0
115,0,0,0,0,0,0
117,0,0,0,0,0,0
118,0,0,0,0,0,0
112,0,0,0,0,0,0
124,0,0,0,0,0,0
116,0,0,0,0,0,0
110,0,0,0,0,0,0
112,0,0,0,0,0,0
114,0,0,0,0,0,0
115,0,0,0,0,0,0
122,0,0,0,0,0,0
121,0,0,0,0,0,0
114,0,0,0,0,0,0
112,0,0,0,0,0,0
107,0,0,0,0,0,0
118,0,0,0,0,0,0
113,0,0,0,0,0,0
123,0,0,0,0,0,0
124,0,0,0,0,0,0
117,0,0,0,0,0,0
109,0,0,0,0,0,0
113,0,0,0,0,0,0
113,0,0,0,0,0,0
121,0,0,0,0,0,0
115,0,0,0,0,0,0
119,0,0,0,0,0,0
112,0,0,0,0,0,0
100,0,0,0,0,0,0
112,0,0,0,0,0,0
110,0,0,0,0,0,0
113,0,0,0,0,0,0
117,0,0,0,0,0,0
110,0,0,0,0,0,0
108,0,0,0,0,0,0
114,0,0,0,0,0,0
121,0,0,0,0,0,0
124,0,0,0,0,0,0
119,0,0,0,0,0,0
119,0,0,0,0,0,0
116,0,0,0,0,0,0
116,0,0,0,0,0,0
113,0,0,0,0,0,0
118,0,0,0,0,0,0
114,0,0,0,0,0,0
111,0,0,0,0,0,0
122,0,0,0,0,0,0
114,0,0,0,0,0,0
130,0,0,0,0,0,0
119,0,0,0,0,0,0
110,0,0,0,0,0,0
114,0,0,0,0,0,0
118,0,0,0,0,0,0
118,0,0,0,0,0,0
109,0,0,0,0,0,0
121,0,0,0,0,0,0
118,0,0,0,0,0,0
118,0,0,0,0,0,0
115,0,0,0,0,0,0
112,0,0,0,0,0,0
121,0,0,0,0,0,0
112,0,0,0,0,0,0
124,0,0,0,0,0,0
113,0,0,0,0,0,0
114,0,0,0,0,0,0
121,0,0,0,0,0,0
123,0,0,0,0,0,0
131,0,0,0,0,0,0
114,0,0,0,0,0,0
119,0,0,0,0,0,0
115,0,0,0,0,0,0
114,0,0,0,0,0,0
121,0,0,0,0,0,0
111,0,0,0,0,0,0
111,0,0,0,0,0,0
118,0,0,0,0,0,0
122,0,0,0,0,0,0
134,0,0,0,0,0,0
121,0,0,0,0,0,0
119,0,0,0,0,0,0
107,0,0,0,0,0,0
115,0,0,0,0,0,0
113,0,0,0,0,0,0
112,0,0,0,0,0,0
111,0,0,0,0,0,0
131,0,0,0,0,0,0
114,0,0,0,0,0,0
111,0,0,0,0,0,0
119,0,0,0,0,0,0
115,0,0,0,0,0,0
116,0,0,0,0,0,0
122,0,0,0,0,0,0
116,0,0,0,0,0,0
114,0,0,0,0,0,0
110,0,0,0,0,0,0
116,0,0,0,0,0,0
114,0,0,0,0,0,0
125,0,0,0,0,0,0
117,0,0,0,0,0,0
114,0,0,0,0,0,0
115,0,0,0,0,0,0
114,0,0,0,0,0,0
114,0,0,0,0,0,0
116,0,0,0,0,0,0
118,0,0,0,0,0,0
126,0,0,0,0,0,0
122,0,0,0,0,0,0
122,0,0,0,0,0,0
118,0,0,0,0,0,0
114,0,0,0,0,0,0
119,0,0,0,0,0,0
106,0,0,0,0,0,0
119,0,0,0,0,0,0
106,0,0,0,0,0,0
123,0,0,0,0,0,0
119,0,0,0,0,0,0
128,0,0,0,0,0,0
117,0,0,0,0,0,0
120,0,0,0,0,0,0
128,0,0,0,0,0,0
132,0,0,0,0,0,0
124,0,0,0,0,0,0
115,0,0,0,0,0,0
114,0,0,0,0,0,0
122,0,0,0,0,0,0
112,0,0,0,0,0,0
131,0,0,0,0,0,0
129,0,0,0,0,0,0
118,0,0,0,0,0,0
118,0,0,0,0,0,0
127,0,0,0,0,0,0
119,0,0,0,0,0,0
120,0,0,0,0,0,0
121,0,0,0,0,0,0
120,0,0,0,0,0,0
123,0,0,0,0,0,0
122,0,0,0,0,0,0
125,0,0,0,0,0,0
124,0,0,0,0,0,0
132,0,0,0,0,0,0
114,0,0,0,0,0,0
123,0,0,0,0,0,0
120,0,0,0,0,0,0
129,0,0,0,0,0,0
115,0,0,0,0,0,0
110,0,0,0,0,0,0
117,0,0,0,0,0,0
122,0,0,0,0,0,0
122,0,0,0,0,0,0
114,0,0,0,0,0,0
113,0,0,0,0,0,0
112,0,0,0,0,0,0
109,0,0,0,0,0,0
122,0,0,0,0,0,0
120,0,0,0,0,0,0
113,0,0,0,0,0,0
106,0,0,0,0,0,0
114,0,0,0,0,0,0
110,0,0,0,0,0,0
117,0,0,0,0,0,0
130,0,0,0,0,0,0
118,0,0,0,0,0,0
113,0,0,0,0,0,0
119,0,0,0,0,0,0
122,0,0,0,0,0,0
122,0,0,0,0,0,0
128,0,0,0,0,0,0
130,0,0,0,0,0,0
110,0,0,0,0,0,0
126,0,0,0,0,0,0
124,0,0,0,0,0,0
116,0,0,0,0,0,0
111,0,0,0,0,0,0
123,0,0,0,0,0,0
120,0,0,0,0,0,0
120,0,0,0,0,0,0
115,0,0,0,0,0,0
117,0,0,0,0,0,0
128,0,0,0,0,0,0
126,0,0,0,0,0,0
132,0,0,0,0,0,0
115,0,0,0,0,0,0
128,0,0,0,0,0,0
110,0,0,0,0,0,0
121,0,0,0,0,0,0
121,0,0,0,0,0,0
116,0,0,0,0,0,0
110,0,0,0,0,0,0
128,0,0,0,0,0,0
117,0,0,0,0,0,0
114,0,0,0,0,0,0
117,0,0,0,0,0,0
128,0,0,0,0,0,0
122,0,0,0,0,0,0
111,0,0,0,0,0,0
121,0,0,0,0,0,0
114,0,0,0,0,0,0
111,0,0,0,0,0,0
122,0,0,0,0,0,0
109,0,0,0,0,0,0
123,0,0,0,0,0,0
123,0,0,0,0,0,0
121,0,0,0,0,0,0
113,0,0,0,0,0,0
113,0,0,0,0,0,0
110,0,0,0,0,0,0
111,0,0,0,0,0,0
127,0,0,0,0,0,0
115,0,0,0,0,0,0
127,0,0,0,0,0,0
114,0,0,0,0,0,0
122,0,0,0,0,0,0
131,0,0,0,0,0,0
125,0,0,0,0,0,0
123,0,0,0,0,0,0
118,0,0,0,0,0,0
124,0,0,0,0,0,0
113,0,0,0,0,0,0
124,0,0,0,0,0,0
117,0,0,0,0,0,0
127,0,0,0,0,0,0
132,0,0,0,0,0,0
110,0,0,0,0,0,0
120,0,0,0,0,0,0
124,0,0,0,0,0,0
121,0,0,0,0,0,0
118,0,0,0,0,0,0
116,0,0,0,0,0,0
126,0,0,0,0,0,0
124,0,0,0,0,0,0
131,0,0,0,0,0,0
119,0,0,0,0,0,0
116,0,0,0,0,0,0
115,0,0,0,0,0,0
114,0,0,0,0,0,0
118,0,0,0,0,0,0
119,0,0,0,0,0,0
120,0,0,0,0,0,0
110,0,0,0,0,0,0
113,0,0,0,0,0,0
116,0,0,0,0,0,0
117,0,0,0,0,0,0
121,0,0,0,0,0,0
113,0,0,0,0,0,0
122,0,0,0,0,0,0
117,0,0,0,0,0,0
119,0,0,0,0,0,0
117,0,0,0,0,0,0
121,0,0,0,0,0,0
109,0,0,0,0,0,0
115,0,0,0,0,0,0
123,0,0,0,0,0,0
117,0,0,0,0,0,0
121,0,0,0,0,0,0
114,0,0,0,0,0,0
110,0,0,0,0,0,0
126,0,0,0,0,0,0
118,0,0,0,0,0,0
124,0,0,0,0,0,0
133,0,0,0,0,0,0
110,0,0,0,0,0,0
128,0,0,0,0,0,0
128,0,0,0,0,0,0
123,0,0,0,0,0,0
122,0,0,0,0,0,0
126,0,0,0,0,0,0
116,0,0,0,0,0,0
112,0,0,0,0,0,0
128,0,0,0,0,0,0
117,0,0,0,0,0,0
114,0,0,0,0,0,0
113,0,0,0,0,0,0
111,0,0,0,0,0,0
126,0,0,0,0,0,0
119,0,0,0,0,0,0
118,0,0,0,0,0,0
123,0,0,0,0,0,0
127,0,0,0,0,0,0
133,0,0,0,0,0,0
107,0,0,0,0,0,0
122,0,0,0,0,0,0
115,0,0,0,0,0,0
131,0,0,0,0,0,0
116,0,0,0,0,0,0
121,0,0,0,0,0,0
123,0,0,0,0,0,0
122,0,0,0,0,0,0
121,0,0,0,0,0,0
115,0,0,0,0,0,0
115,0,0,0,0,0,0
119,0,0,0,0,0,0
118,0,0,0,0,0,0
118,0,0,0,0,0,0
119,0,0,0,0,0,0
106,0,0,0,0,0,0
122,0,0,0,0,0,0
125,0,0,0,0,0,0
123,0,0,0,0,0,0
127,0,0,0,0,0,0
122,0,0,0,0,0,0
121,0,0,0,0,0,0
124,0,0,0,0,0,0
117,0,0,0,0,0,0
127,0,0,0,0,0,0
122,0,0,0,0,0,0
124,0,0,0,0,0,0
109,0,0,0,0,0,0
117,0,0,0,0,0,0
121,0,0,0,0,0,0
107,0,0,0,0,0,0
122,0,0,0,0,0,0
110,0,0,0,0,0,0
117,0,0,0,0,0,0
113,0,0,0,0,0,0
116,0,0,0,0,0,0
112,0,0,0,0,0,0
120,0,0,0,0,0,0
119,0,0,0,0,0,0
120,0,0,0,0,0,0
119,0,0,0,0,0,0
115,0,0,0,0,0,0
124,0,0,0,0,0,0
122,0,0,0,0,0,0
111,0,0,0,0,0,0
124,0,0,0,0,0,0
114,0,0,0,0,0,0
116,0,0,0,0,0,0
119,0,0,0,0,0,0
134,0,0,0,0,0,0
114,0,0,0,0,0,0
128,0,0,0,0,0,0
118,0,0,0,0,0,0
120,0,0,0,0,0,0
121,0,0,0,0,0,0
118,0,0,0,0,0,0
126,0,0,0,0,0,0
115,0,0,0,0,0,0
120,0,0,0,0,0,0
108,0,0,0,0,0,0
135,0,0,0,0,0,0
125,0,0,0,0,0,0
121,0,0,0,0,0,0
126,0,0,0,0,0,0
109,0,0,0,0,0,0
126,0,0,0,0,0,0
121,0,0,0,0,0,0
116,0,0,0,0,0,0
119,0,0,0,0,0,0
119,0,0,0,0,0,0
116,0,0,0,0,0,0
134,0,0,0,0,0,0
119,0,0,0,0,0,0
113,0,0,0,0,0,0
106,0,0,0,0,0,0
119,0,0,0,0,0,0
111,0,0,0,0,0,0
117,0,0,0,0,0,0
121,0,0,0,0,0,0
111,0,0,0,0,0,0
118,0,0,0,0,0,0
129,0,0,0,0,0,0
123,0,0,0,0,0,0
115,0,0,0,0,0,0
117,0,0,0,0,0,0
115,0,0,0,0,0,0
120,0,0,0,0,0,0
122,0,0,0,0,0,0
121,0,0,0,0,0,0
120,0,0,0,0,0,0
115,0,0,0,0,0,0
111,0,0,0,0,0,0
127,0,0,0,0,0,0
118,0,0,0,0,0,0
121,0,0,0,0,0,0
121,0,0,0,0,0,0
124,0,0,0,0,0,0
125,0,0,0,0,0,0
114,0,0,0,0,0,0
119,0,0,0,0,0,0
125,0,0,0,0,0,0
127,0,0,0,0,0,0
112,0,0,0,0,0,0
116,0,0,0,0,0,0
116,0,0,0,0,0,0
115,0,0,0,0,0,0
133,0,0,0,0,0,0
115,0,0,0,0,0,0
119,0,0,0,0,0,0
107,0,0,0,0,0,0
107,0,0,0,0,0,0
120,0,0,0,0,0,0
124,0,0,0,0,0,0
117,0,0,0,0,0,0
126,0,0,0,0,0,0
123,0,0,0,0,0,0
118,0,0,0,0,0,0
119,0,0,0,0,0,0
117,0,0,0,0,0,0
114,0,0,0,0,0,0
119,0,0,0,0,0,0
136,0,0,0,0,0,0
126,0,0,0,0,0,0
126,0,0,0,0,0,0
128,0,0,0,0,0,0
123,0,0,0,0,0,0
121,0,0,0,0,0,0
117,0,0,0,0,0,0
126,0,0,0,0,0,0
115,0,0,0,0,0,0
114,0,0,0,0,0,0
112,0,0,0,0,0,0
101,0,0,0,0,0,0
110,0,0,0,0,0,0
106,0,0,0,0,0,0
117,0,0,0,0,0,0
115,0,0,0,0,0,0
112,0,0,0,0,0,0
105,0,0,0,0,0,0
119,0,0,0,0,0,0
111,0,0,0,0,0,0
112,0,0,0,0,0,0
107,0,0,0,0,0,0
114,0,0,0,0,0,0
112,0,0,0,0,0,0
117,0,0,0,0,0,0
119,0,0,0,0,0,0
105,0,0,0,0,0,0
107,0,0,0,0,0,0
111,0,0,0,0,0,0
108,0,0,0,0,0,0
117,0,0,0,0,0,0
123,0,0,0,0,0,0
117,0,0,0,0,0,0
115,0,0,0,0,0,0
121,0,0,0,0,0,0
118,0,0,0,0,0,0
115,0,0,0,0,0,0
113,0,0,0,0,0,0
102,0,0,0,0,0,0
105,0,0,0,0,0,0
105,0,0,0,0,0,0
108,0,0,0,0,0,0
117,0,0,0,0,0,0
115,0,0,0,0,0,0
108,0,0,0,0,0,0
105,0,0,0,0,0,0
114,0,0,0,0,0,0
121,0,0,0,0,0,0
110,0,0,0,0,0,0
107,0,0,0,0,0,0
117,0,0,0,0,0,0
115,0,0,0,0,0,0
122,0,0,0,0,0,0
113,0,0,0,0,0,0
126,0,0,0,0,0,0
115,0,0,0,0,0,0
106,0,0,0,0,0,0
108,0,0,0,0,0,0
119,0,0,0,0,0,0
115,0,0,0,0,0,0
119,0,0,0,0,0,0
112,0,0,0,0,0,0
106,0,0,0,0,0,0
109,0,0,0,0,0,0
119,0,0,0,0,0,0
115,0,0,0,0,0,0
116,0,0,0,0,0,0
121,0,0,0,0,0,0
111,0,0,0,0,0,0
111,0,0,0,0,0,0
114,0,0,0,0,0,0
114,0,0,0,0,0,0
109,0,0,0,0,0,0
113,0,0,0,0,0,0
113,0,0,0,0,0,0
113,0,0,0,0,0,0
118,0,0,0,0,0,0
127,0,0,0,0,0,0
103,0,0,0,0,0,0
119,0,0,0,0,0,0
110,0,0,0,0,0,0
106,0,0,0,0,0,0
115,0,0,0,0,0,0
105,0,0,0,0,0,0
116,0,0,0,0,0,0
107,0,0,0,0,0,0
112,0,0,0,0,0,0
109,0,0,0,0,0,0
123,0,0,0,0,0,0
115,0,0,0,0,0,0
122,0,0,0,0,0,0
126,0,0,0,0,0,0
119,0,0,0,0,0,0
119,0,0,0,0,0,0
119,0,0,0,0,0,0
109,0,0,0,0,0,0
121,0,0,0,0,0,0
108,0,0,0,0,0,0
120,0,0,0,0,0,0
112,0,0,0,0,0,0
106,0,0,0,0,0,0
123,0,0,0,0,0,0
108,0,0,0,0,0,0
115,0,0,0,0,0,0
107,0,0,0,0,0,0
118,0,0,0,0,0,0
106,0,0,0,0,0,0
118,0,0,0,0,0,0
119,0,0,0,0,0,0
114,0,0,0,0,0,0
121,0,0,0,0,0,0
116,0,0,0,0,0,0
108,0,0,0,0,0,0
114,0,0,0,0,0,0
112,0,0,0,0,0,0
108,0,0,0,0,0,0
115,0,0,0,0,0,0
115,0,0,0,0,0,0
119,0,0,0,0,0,0
120,0,0,0,0,0,0
125,0,0,0,0,0,0
122,0,0,0,0,0,0
108,0,0,0,0,0,0
105,0,0,0,0,0,0
119,0,0,0,0,0,0
118,0,0,0,0,0,0
113,0,0,0,0,0,0
125,0,0,0,0,0,0
111,0,0,0,0,0,0
111,0,0,0,0,0,0
104,0,0,0,0,0,0
110,0,0,0,0,0,0
110,0,0,0,0,0,0
103,0,0,0,0,0,0
117,0,0,0,0,0,0
113,0,0,0,0,0,0
108,0,0,0,0,0,0
107,0,0,0,0,0,0
122,0,0,0,0,0,0
120,0,0,0,0,0,0
114,0,0,0,0,0,0
119,0,0,0,0,0,0
122,0,0,0,0,0,0
123,0,0,0,0,0,0
113,0,0,0,0,0,0
115,0,0,0,0,0,0
115,0,0,0,0,0,0
110,0,0,0,0,0,0
113,0,0,0,0,0,0
123,0,0,0,0,0,0
117,0,0,0,0,0,0
115,0,0,0,0,0,0
120,0,0,0,0,0,0
111,0,0,0,0,0,0
112,0,0,0,0,0,0
104,0,0,0,0,0,0
112,0,0,0,0,0,0
113,0,0,0,0,0,0
119,0,0,0,0,0,0
120,0,0,0,0,0,0
120,0,0,0,0,0,0
111,0,0,0,0,0,0
109,0,0,0,0,0,0
114,0,0,0,0,0,0
113,0,0,0,0,0,0
110,0,0,0,0,0,0
114,0,0,0,0,0,0
116,0,0,0,0,0,0
118,0,0,0,0,0,0
120,0,0,0,0,0,0
119,0,0,0,0,0,0
124,0,0,0,0,0,0
113,0,0,0,0,0,0
113,0,0,0,0,0,0
120,0,0,0,0,0,0
120,0,0,0,0,0,0
110,0,0,0,0,0,0
108,0,0,0,0,0,0
123,0,0,0,0,0,0
108,0,0,0,0,0,0
100,0,0,0,0,0,0
120,0,0,0,0,0,0
118,0,0,0,0,0,0
105,0,0,0,0,0,0
108,0,0,0,0,0,0
113,0,0,0,0,0,0
120,0,0,0,0,0,0
110,0,0,0,0,0,0
118,0,0,0,0,0,0
117,0,0,0,0,0,0
113,0,0,0,0,0,0
117,0,0,0,0,0,0
123,0,0,0,0,0,0
115,0,0,0,0,0,0
106,0,0,0,0,0,0
111,0,0,0,0,0,0
109,0,0,0,0,0,0
125,0,0,0,0,0,0
117,0,0,0,0,0,0
129,0,0,0,0,0,0
121,0,0,0,0,0,0
111,0,0,0,0,0,0
106,0,0,0,0,0,0
108,0,0,0,0,0,0
108,0,0,0,0,0,0
116,0,0,0,0,0,0
103,0,0,0,0,0,0
110,0,0,0,0,0,0
118,0,0,0,0,0,0
110,0,0,0,0,0,0
103,0,0,0,0,0,0
